Country,#Of Drivers
British,162
American,157
Italian,99
French,72
German,49
Brazilian,31
Argentine,24
Belgian,23
South African,23
Swiss,23
Japanese,19
Dutch,17
Australian,17
Spanish,15
Austrian,15
Canadian,13
Swedish,10
Finnish,9
New Zealander,9
Mexican,6
Danish,5
Irish,5
Rhodesian,4
Uruguayan,4
Portuguese,4
Venezuelan,3
Colombian,3
East German,3
Monegasque,3
Indian,2
Russian,2
Argentine-Italian,1
American-Italian,1
Indonesian,1
Hungarian,1
Thai,1
Chilean,1
Malaysian,1
Liechtensteiner,1
Polish,1
Czech,1
